caseid,sex,ybirth,mbirth,ZQ03,JC_1,JC_41,ZQ08A,ZQ08B,ZQ08C,ZQ08D,ZQ08E,ZQ08F,ZQ08G,ZQ08H,ZQ11_A,ZQ11_B,ZQ11_C,ZQ11_D,ZQ11_E,ZQ11_F,ZQ11_G,ZQ11_H,ZQ11_I,ZQ11_J,ZQ11_K,ZQ11_L,ZQ11_M,ZQ11_N,ZQ11_O,ZQ12,ZQ14_1A,ZQ14_1B,ZQ14_1C,ZQ14_1D,ZQ23A,ZQ23B,ZQ23C,ZQ23D,ZQ24,ZQ25,ZQ26A,ZQ26B,ZQ26C,ZQ26D,ZQ26E,ZQ26F,ZQ30D,ZQ35,ZQ39A,ZQ42,ZQ43,ZQ47A,ZQ47B,ZQ47C,ZQ50,ZQ52A,ZQ52Y,ZQ54A,ZQ54B,ZQ54C,ZQ54D,ZQ61_A,ZQ61_B,ZQ61_C,ZQ61_D,ZQ61_E,ZQ61_F,ZQ61_G,ZQ61_H,ZQ61_I,ZQ62
10011,2,1974,4,2,10,88,6,1,2,6,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,1,5,5,2,2,1,3,4,4,3,3,3,3,2,7,3,9,2,1,7,7,2,2,36,6,6,6,6,2,2,2,2,2,2,2,2,1,3
10012,1,1973,1,1,4,8,4,3,4,5,4,4,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,0,0,1,1,2,1,1,1,3,4,5,1,4,3,5,2,7,3,10,4,8,5,9,2,1,74,1,1,3,3,1,2,2,2,2,2,2,2,2,5
10013,2,1984,7,1,2,10,6,1,1,6,6,6,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,1,0,0,3,8,4,5,1,2,3,3,3,3,3,5,2,4,4,9,3,2,15,14,1,8,888,8,8,8,8,2,2,2,1,2,2,2,2,2,3
10014,1,1972,11,1,6,8,6,5,2,5,6,6,6,4,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,5,1,0,1,0,5,4,2,2,1,1,5,5,1,5,1,5,2,8,3,1,2,6,1,6,2,2,46,1,1,2,3,2,1,2,2,2,2,2,2,2,2
10015,2,1985,10,2,11,88,4,3,3,4,3,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,0,0,2,5,8,6,4,3,1,5,5,2,4,2,5,2,3,3,1,2,1,15,10,1,8,888,8,8,8,8,2,1,2,2,2,2,2,2,2,2
10016,2,1982,1,1,3,5,6,2,2,5,2,2,3,2,1,2,2,2,1,1,1,2,2,2,2,2,2,1,2,4,0,0,1,0,2,8,2,2,1,2,4,3,2,5,2,5,2,8,4,9,2,4,15,14,1,8,888,8,8,8,8,2,2,2,2,1,2,2,2,2,3
10017,2,1984,5,2,10,88,6,1,1,4,1,2,1,4,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,3,1,0,0,0,2,3,2,2,2,2,2,4,2,4,2,5,2,5,4,9,4,1,6,6,2,2,56,4,6,6,4,2,2,2,2,1,2,2,2,2,2
10018,2,1980,10,1,2,10,6,1,1,5,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,1,0,2,3,8,5,3,1,1,5,5,1,5,2,5,1,5,2,9,4,6,99,14,1,8,888,8,8,8,8,2,2,2,2,1,2,2,2,2,4
10019,1,1972,7,1,2,11,4,3,4,4,6,4,5,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,3,0,0,1,0,6,8,5,2,1,2,4,4,2,4,4,4,4,99,4,9,1,8,15,8,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,3
10020,2,1978,9,1,2,13,4,1,5,5,6,6,5,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,1,0,5,8,5,5,1,3,4,3,4,2,2,4,2,4,9,9,3,7,15,11,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,2
10021,2,1982,4,1,2,8,5,1,6,6,6,6,6,4,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,3,1,0,0,0,3,8,2,2,1,3,3,3,3,3,3,5,4,7,3,10,4,5,15,10,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,1
10022,1,1978,5,1,2,10,6,6,3,4,6,6,6,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,1,0,0,5,5,2,2,1,1,3,4,2,4,2,5,2,5,3,9,2,6,4,7,2,2,54,1,1,1,1,1,2,2,2,2,2,2,2,2,1
10023,2,1979,5,1,3,8,3,4,3,4,6,5,4,4,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,3,0,1,0,1,5,8,5,2,1,3,5,5,2,4,3,5,2,8,5,9,2,4,15,13,1,8,888,8,8,8,8,2,2,2,2,1,2,2,2,2,3
10024,1,1975,9,1,2,7,4,1,2,5,6,6,5,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,0,0,0,3,8,1,2,1,4,3,3,4,3,3,5,3,7,3,9,3,99,99,99,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,3
10025,1,1973,7,1,2,11,6,1,1,5,6,6,6,6,2,2,2,2,2,2,1,1,1,2,2,1,2,1,2,2,1,0,0,0,5,5,5,2,1,3,3,5,3,4,3,3,2,4,3,1,2,9,1,9,2,2,54,1,3,4,4,2,1,2,2,2,2,2,2,2,2
10026,1,1975,2,1,2,8,6,1,3,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,2,3,9,9,1,3,9,3,3,3,3,5,2,4,3,10,2,7,4,8,2,2,50,2,2,2,3,1,2,2,2,2,2,2,2,2,4
10027,1,1977,6,1,2,9,6,1,3,3,6,6,6,6,2,1,2,2,2,1,2,2,2,1,1,1,1,2,2,4,0,0,0,0,2,3,2,2,1,3,3,3,4,3,3,5,3,8,2,9,4,6,5,8,2,2,54,1,2,4,4,1,2,2,2,2,2,2,2,2,3
10028,1,1973,1,2,10,88,5,6,4,4,4,4,4,4,2,1,2,1,1,1,1,1,2,2,2,2,1,2,2,3,0,1,0,0,5,8,7,7,2,3,4,3,3,3,3,1,2,5,2,9,3,6,15,14,4,2,45,3,3,3,4,1,2,2,2,2,2,2,2,2,1
10029,2,1983,4,1,2,9,6,4,3,5,1,4,4,3,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,3,0,0,0,1,3,3,3,1,1,3,3,4,2,3,2,3,3,9,2,10,2,6,6,8,2,2,47,3,4,3,3,2,1,2,2,2,2,2,2,2,2
10030,1,1976,8,1,3,10,6,3,4,3,4,6,5,4,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,0,0,1,0,4,8,5,2,1,3,3,4,2,4,2,5,3,8,2,9,1,7,15,10,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,2
10031,1,1983,4,1,12,2,4,6,5,3,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,0,0,1,1,6,8,3,2,3,2,2,5,5,4,3,5,4,3,3,2,1,1,99,99,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,1
10032,1,1977,7,1,2,10,6,1,6,3,6,3,5,1,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,3,0,0,1,0,2,2,2,1,1,3,5,5,2,5,3,5,2,6,2,9,4,8,1,8,2,2,43,1,3,3,3,1,2,2,2,2,2,2,2,2,2
10033,2,1978,7,1,2,8,6,1,1,4,6,6,6,6,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,1,0,0,0,3,8,5,2,1,1,4,4,2,3,1,5,2,8,5,9,4,6,99,14,1,8,888,8,8,8,8,2,2,2,2,2,2,1,2,2,3
10034,2,1978,9,1,8,2,6,4,1,5,1,1,1,3,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,3,0,1,1,0,3,3,1,3,1,1,3,4,2,4,9,4,3,8,5,9,2,2,8,8,2,2,53,1,1,1,1,2,2,2,2,1,2,2,2,2,1
10035,2,1975,2,1,2,9,4,2,3,4,3,3,4,3,1,1,2,2,2,1,1,2,2,1,2,1,2,2,2,2,0,0,1,1,3,8,2,3,1,2,2,4,3,4,2,4,2,5,2,2,3,8,99,8,1,8,888,8,8,8,8,2,2,2,1,2,2,2,2,2,2
10036,2,1986,8,2,10,88,6,3,3,4,1,2,3,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,4,0,1,0,0,2,8,6,2,1,3,2,3,4,3,4,5,3,8,1,9,3,1,15,14,1,8,888,8,8,8,8,2,2,2,2,2,1,2,2,2,3
10037,1,1986,12,1,12,7,9,1,1,4,6,6,6,6,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,0,0,0,2,8,2,4,3,2,4,5,3,4,3,5,4,5,3,9,3,4,15,7,1,8,888,8,8,8,8,2,2,2,2,2,2,2,2,1,1
10038,2,1975,7,2,10,88,6,1,1,5,1,1,1,4,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,0,0,0,0,4,5,5,3,1,2,4,5,3,4,4,5,2,6,3,9,3,1,14,14,2,2,47,6,6,6,4,2,2,2,2,2,2,2,2,1,4
10039,2,1980,9,1,3,8,6,1,1,6,6,6,4,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,2,0,3,8,7,7,1,3,3,3,3,3,3,5,3,7,3,9,4,4,15,14,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,3
10040,1,1981,9,1,2,12,4,1,1,3,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,0,2,2,7,7,1,2,3,4,3,3,3,4,2,8,1,10,4,7,6,10,2,2,56,1,1,3,4,2,1,2,2,2,2,2,2,2,1
10041,2,1977,6,1,4,8,4,2,2,5,5,6,5,4,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,3,0,1,0,0,3,8,1,1,1,3,2,2,3,3,3,3,3,9,5,10,2,5,15,14,1,8,888,8,8,8,8,2,2,2,2,2,2,2,2,1,2
10042,1,1984,9,1,2,12,6,6,6,3,9,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,3,8,2,2,1,2,5,5,4,5,2,5,4,8,3,4,4,5,99,5,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,2
10043,2,1982,11,1,5,8,6,1,1,6,6,6,6,6,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,0,1,0,0,2,8,1,1,1,1,3,5,2,5,2,5,3,7,1,10,4,5,15,99,4,9,999,9,9,9,9,2,2,2,2,2,1,2,2,2,1
10044,2,1976,12,1,2,8,6,1,3,4,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,2,3,3,2,2,1,1,5,5,2,4,3,3,1,6,3,2,3,8,8,10,2,1,76,2,4,4,3,2,2,2,2,1,2,2,2,2,4
10045,2,1975,1,2,10,88,6,6,6,1,6,5,6,2,1,2,2,2,1,1,1,2,2,1,2,1,2,2,2,5,0,0,0,1,2,8,2,1,1,5,2,1,5,1,5,2,5,8,3,1,3,4,15,3,1,8,888,8,8,8,8,2,2,2,2,2,1,2,2,2,1
10046,1,1978,8,1,2,11,5,6,3,4,3,3,4,4,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,4,0,1,0,0,5,5,2,2,1,3,4,3,3,3,3,5,2,7,5,2,2,6,5,8,2,2,54,4,3,4,3,1,2,2,2,2,2,2,2,2,3
10047,2,1977,8,1,2,8,4,1,1,6,5,6,4,5,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,5,1,0,0,0,2,8,7,1,1,4,3,3,4,4,3,5,2,7,4,2,2,6,15,8,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,2
10048,1,1979,7,1,2,10,4,2,3,4,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,1,0,0,5,8,2,2,1,3,5,5,5,5,5,5,3,5,5,9,1,8,15,14,1,8,888,8,8,8,8,2,1,2,2,2,2,2,2,2,3
10049,2,1986,4,1,12,5,6,1,5,4,6,6,6,6,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,0,1,0,5,8,6,5,3,3,3,2,4,2,3,3,3,6,4,99,9,99,99,99,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,4
10050,1,1984,6,1,12,99,6,1,1,4,6,6,6,6,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,3,0,0,0,0,5,8,2,5,3,3,4,2,5,2,4,5,4,6,4,9,3,3,15,10,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,4
10051,2,1972,3,1,2,8,6,1,2,5,1,4,4,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,3,0,0,0,0,5,8,5,2,1,2,2,2,4,2,4,5,3,7,4,9,3,5,15,14,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,3
10052,2,1983,3,1,2,8,6,1,2,4,6,6,5,6,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,0,0,0,0,5,8,7,2,1,2,4,4,2,5,2,5,2,4,4,1,3,6,15,8,1,8,888,8,8,8,8,2,2,2,2,1,2,2,2,2,2
10053,2,1976,7,2,10,88,6,2,1,3,1,3,3,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,2,4,1,0,0,0,4,2,2,2,1,3,1,3,2,4,2,5,2,5,4,10,4,1,5,5,2,1,76,6,6,6,6,2,1,2,2,2,2,2,2,2,2
10054,1,1974,10,1,2,10,6,1,4,3,9,4,4,3,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,3,0,0,1,1,5,8,5,4,1,3,4,4,3,3,3,5,3,7,3,2,2,6,15,6,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,3
10055,1,1974,6,1,2,11,6,1,1,4,6,6,6,6,2,2,2,2,2,1,2,2,2,2,1,2,1,1,2,3,2,0,0,0,5,5,7,7,1,3,5,5,2,4,1,5,1,5,2,9,1,7,1,7,2,2,52,1,1,3,3,1,2,2,2,2,2,2,2,2,2
10056,2,1985,10,2,11,88,3,1,2,4,4,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,2,3,8,2,3,3,2,4,5,2,4,3,5,2,7,4,9,4,1,15,14,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,1
10057,1,1979,10,1,2,10,6,2,6,5,3,4,4,4,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,0,1,0,0,5,8,2,4,1,2,4,3,3,5,2,4,3,5,4,9,2,7,99,7,1,8,888,8,8,8,8,2,1,2,2,2,2,2,2,2,2
10058,2,1986,12,2,11,88,6,6,3,3,6,6,5,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,0,4,8,5,5,3,1,5,5,3,4,3,5,3,3,5,10,4,2,99,10,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,3
10059,1,1981,1,1,2,10,5,1,1,5,6,6,6,6,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,1,0,0,4,8,4,4,1,3,3,3,2,4,2,5,1,9,5,9,3,6,15,12,1,8,888,8,8,8,8,2,2,1,2,2,2,2,2,2,2
10060,2,1986,7,1,2,9,6,6,6,4,5,6,5,6,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,0,0,0,2,8,7,2,1,3,3,3,4,4,3,3,3,10,2,9,4,5,15,14,1,8,888,8,8,8,8,2,2,2,2,2,1,2,2,2,3
10061,1,1983,3,1,7,7,6,2,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,1,0,0,0,1,8,9,9,9,2,9,9,3,9,9,9,2,8,9,10,4,2,99,99,1,8,888,8,8,8,8,2,2,2,2,2,2,2,2,1,4
10062,2,1980,8,1,2,7,6,1,2,5,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1,2,5,1,2,1,2,1,3,3,3,2,5,2,5,2,9,2,5,7,8,2,2,51,5,5,5,4,2,2,2,2,2,2,2,2,1,3
10063,2,1983,4,1,2,9,6,4,2,5,6,6,6,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,5,8,5,4,1,2,5,5,2,4,1,5,2,5,5,9,2,6,15,9,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,4
10064,1,1981,2,1,12,1,5,1,2,4,4,4,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,6,8,6,5,3,2,5,4,2,3,3,5,3,3,5,2,1,3,99,99,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,1
10065,1,1976,1,1,2,10,6,5,6,5,6,6,5,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,0,1,0,0,3,8,2,3,1,4,3,4,3,4,3,5,3,7,3,9,2,7,15,14,1,8,888,8,8,8,8,2,2,2,1,2,2,2,2,2,3
10066,2,1978,10,2,10,88,6,1,2,5,2,1,4,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,0,1,0,0,4,6,2,2,1,2,4,3,3,3,2,5,1,8,3,9,2,4,7,8,2,2,47,5,6,5,4,2,2,2,2,1,2,2,2,2,3
10067,2,1974,1,2,10,88,6,1,2,5,1,1,1,2,1,2,2,2,2,1,1,2,2,1,2,2,1,2,2,3,0,1,1,0,4,3,2,2,1,3,3,5,2,4,2,5,2,5,4,9,3,1,7,7,2,2,48,5,6,6,5,2,2,2,2,1,2,2,2,2,2
10068,1,1977,6,1,3,8,6,6,6,3,6,6,6,4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,0,0,1,0,5,8,1,2,1,3,4,4,2,5,3,4,2,8,4,9,2,5,15,14,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,2
10069,1,1986,11,1,12,6,2,2,3,5,2,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,0,1,0,5,8,4,2,3,1,3,4,2,4,3,5,4,3,4,1,2,3,15,4,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,1
10070,1,1985,9,2,11,88,4,5,6,3,4,5,5,4,2,1,1,2,2,2,1,2,2,2,1,2,1,2,2,4,0,0,0,2,5,8,1,4,3,4,4,3,3,3,4,4,4,7,4,3,2,3,15,3,1,8,888,8,8,8,8,2,1,2,2,2,2,2,2,2,1
10071,2,1985,9,1,2,7,6,6,6,4,6,6,6,6,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,5,3,1,0,0,2,8,1,5,1,4,4,5,2,4,3,5,3,7,1,1,4,4,99,5,1,8,888,8,8,8,8,2,2,2,2,2,1,2,2,2,3
10072,1,1977,4,1,2,9,6,6,6,9,9,9,6,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,1,1,2,9,2,3,3,3,4,3,4,3,5,3,3,2,6,99,99,2,9,999,1,1,1,1,1,2,2,2,2,2,2,2,2,2
10073,2,1974,10,1,2,8,6,5,4,4,1,2,4,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,3,0,1,0,0,3,2,1,4,1,4,3,3,3,4,2,4,3,5,4,9,3,7,6,9,2,2,48,6,6,6,4,1,2,2,2,2,2,2,2,2,3
10074,1,1976,1,2,10,88,6,4,5,3,6,6,4,5,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,4,1,0,0,1,1,8,9,9,1,3,5,5,5,5,3,5,4,9,3,9,3,99,99,99,1,8,888,8,8,8,8,2,2,2,2,2,2,2,2,1,3
10075,2,1983,4,1,3,8,6,2,4,5,6,6,4,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,0,3,8,5,3,2,3,4,4,2,4,2,5,2,7,4,9,9,4,99,99,1,8,888,8,8,8,8,2,2,2,2,1,2,2,2,2,3
10076,1,1985,7,1,12,6,4,4,4,4,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,1,0,5,8,5,4,3,3,4,5,2,4,3,5,2,8,5,10,3,2,15,9,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,4
10077,1,1973,1,1,2,10,6,6,6,5,6,4,4,5,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,5,0,1,0,0,5,8,1,2,1,2,4,2,2,2,3,5,5,9,3,9,1,6,99,6,1,8,888,8,8,8,8,2,1,2,2,2,2,2,2,2,1
10078,2,1986,5,1,12,4,5,1,1,6,6,3,5,5,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,1,0,0,3,8,5,4,3,2,4,5,2,3,3,5,3,5,2,9,4,3,15,14,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,3
10079,2,1973,10,1,2,8,4,1,4,5,6,1,4,4,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,3,1,0,0,0,4,8,5,5,1,3,4,5,2,3,2,5,2,5,5,3,2,7,99,7,1,8,888,8,8,8,8,2,2,2,2,1,2,2,2,2,2
10080,2,1982,7,1,2,9,5,4,3,6,4,3,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,1,0,0,3,8,1,1,1,3,3,3,3,3,3,5,2,8,4,10,2,5,99,8,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,3
10081,2,1980,1,1,2,8,6,1,3,4,6,6,5,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,0,0,0,5,8,3,1,1,3,4,4,3,4,3,5,2,5,2,9,2,6,15,14,1,8,888,8,8,8,8,2,2,2,2,1,2,2,2,2,3
10082,1,1973,3,1,2,10,4,1,2,5,6,6,6,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,1,2,3,2,2,1,2,3,4,2,4,3,4,2,5,3,9,3,7,3,8,2,2,42,1,1,1,4,1,2,2,2,2,2,2,2,2,4
10083,2,1983,2,1,2,9,6,3,3,5,4,1,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,1,0,0,0,4,8,2,2,1,3,4,3,2,4,2,4,3,6,4,2,2,4,15,14,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,2
10084,1,1980,9,1,7,8,6,1,1,6,6,6,6,6,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,0,0,0,1,2,8,2,4,1,3,4,5,2,4,2,5,3,5,3,10,4,4,15,14,1,8,888,8,8,8,8,2,2,1,2,2,2,2,2,2,1
10085,1,1983,12,1,2,11,5,1,3,4,3,2,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,2,5,8,2,3,1,2,3,5,2,3,3,5,2,6,4,9,3,5,15,7,1,8,888,8,8,8,8,2,1,2,2,2,2,2,2,2,2
10086,1,1979,2,1,2,10,6,1,2,6,6,6,6,5,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,0,0,0,2,3,7,7,1,2,3,5,4,5,4,5,1,6,4,2,4,6,6,99,2,2,55,2,1,4,3,1,2,2,2,2,2,2,2,2,2
10087,2,1974,11,1,3,6,6,1,4,6,1,1,1,1,2,2,2,2,2,1,1,2,2,1,2,2,2,1,2,4,0,2,0,0,2,5,1,1,1,2,3,3,3,3,3,3,4,5,5,9,3,4,6,6,2,2,27,1,1,5,6,2,1,2,2,2,2,2,2,2,2
10088,1,1972,7,1,4,8,4,1,1,6,4,4,5,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,4,2,0,0,0,5,8,2,2,1,2,3,4,3,5,2,5,4,7,5,2,2,6,99,6,1,8,888,8,8,8,8,1,2,2,2,2,2,2,2,2,2
